Name,Leader names,Member count,Privacy,Meeting schedule,Upcoming event,Previous event,Church Center visibility,Tags,Campus,Group type,Enrollment,Enrollment limit,Chat enabled,Location name,Location address,Description,Contact person,Created date,Archived date,Group URL,Church Center URL
25/25 5th Grade Parents,,18,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,1/29/2026,,https://groups.planningcenteronline.com/groups/2970620,
25/26 1st Grade Parents,,5,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,1/29/2026,,https://groups.planningcenteronline.com/groups/2970564,
25/26 2nd Grade Parents,,20,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,1/29/2026,,https://groups.planningcenteronline.com/groups/2970570,
25/26 3rd Grade Parents,,10,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,1/29/2026,,https://groups.planningcenteronline.com/groups/2970578,
25/26 4th Grade Parents,,8,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,1/29/2026,,https://groups.planningcenteronline.com/groups/2970591,
25/26 Kindergarten Parents,,6,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,1/29/2026,,https://groups.planningcenteronline.com/groups/2970549,
25/26 Preschool 2s Parents,,4,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,2/16/2026,,https://groups.planningcenteronline.com/groups/2995092,
25/26 Preschool 3 Parents,,7,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,2/16/2026,,https://groups.planningcenteronline.com/groups/2995097,
25/26 Preschool 4s Parents,,13,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,2/16/2026,,https://groups.planningcenteronline.com/groups/2995112,
25/26 Preschool Infants Parents,,2,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,2/16/2026,,https://groups.planningcenteronline.com/groups/2995074,
25/26 Preschool Toddler Parents,,3,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,2/16/2026,,https://groups.planningcenteronline.com/groups/2995078,
Babies,,4,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,8/3/2026,,https://groups.planningcenteronline.com/groups/3140093,
Elementary Parents,,47,,,,8/3/2025,Unlisted,,,Unique Groups,Closed,,No,,,,,6/25/2025,,https://groups.planningcenteronline.com/groups/2719560,
Kids Adventure Parents,,44,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,9/10/2025,,https://groups.planningcenteronline.com/groups/2835074,
Preschool Parents,,12,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,7/3/2025,,https://groups.planningcenteronline.com/groups/2725193,
Rising 6th grade parents,,8,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,7/15/2025,,https://groups.planningcenteronline.com/groups/2731917,
Rising K parents,,6,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,7/14/2025,,https://groups.planningcenteronline.com/groups/2731324,
Sunday Bible Study Teachers,,9,,,,8/6/2025,Unlisted,,,Unique Groups,Closed,,No,,,,,7/9/2025,,https://groups.planningcenteronline.com/groups/2728462,
Sunday Preschool Volunteers,,39,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,7/14/2025,,https://groups.planningcenteronline.com/groups/2730958,
Wednesday Night Missions-Children,,6,,,,,Unlisted,,,Unique Groups,Closed,,No,,,,,11/24/2025,,https://groups.planningcenteronline.com/groups/2894987,
Wednesday Night Vols,,21,,,,7/27/2025,Unlisted,,,Unique Groups,Closed,,No,,,,,7/10/2025,,https://groups.planningcenteronline.com/groups/2728902,
